1 1:17.000000 2:251.000000 3:156.182651 4:0.217277 5:5.785393 6:2.529410 7:3.436173 8:6.293349 9:8.684739 10:5.995035 11:3.580545 12:2.329296 13:5.568011 14:1.570057 15:1.569866 16:1.518522 17:1.570605 18:0.052467 19:4.574612 20:114146.187186 21:0.941399
1 1:18.000000 2:238.000000 3:108.506554 4:0.144158 5:6.040497 6:5.690668 7:6.008613 8:4.680041 9:5.443445 10:4.653552 11:4.029905 12:4.584581 13:6.766457 14:1.283672 15:1.492995 16:0.690044 17:1.245679 18:1.205871 19:5.109596 20:27850.894499 21:0.957619
1 1:18.000000 2:251.000000 3:120.233309 4:0.125500 5:7.658708 6:4.655836 7:2.575949 8:4.596177 9:7.419687 10:5.048816 11:2.405946 12:3.415603 13:6.811509 14:1.552998 15:1.570329 16:1.546771 17:1.552530 18:0.042290 19:4.476332 20:16952.581360 21:0.934212
1 1:17.000000 2:117.000000 3:88.096004 4:0.211796 5:6.768711 6:4.591182 7:4.752349 8:4.395658 9:5.471062 10:4.707329 11:5.092447 12:2.834889 13:6.982654 14:1.498266 15:1.558448 16:0.793426 17:1.485919 18:0.862249 19:3.345269 20:27383.794783 21:0.866157
1 1:18.000000 2:184.000000 3:108.962164 4:0.145413 5:6.770376 6:3.434473 7:3.908084 8:4.837637 9:3.740841 10:5.629492 11:5.577111 12:5.535457 13:7.394629 14:1.468177 15:1.548903 16:0.662388 17:1.446284 18:1.032920 19:3.658203 20:53900.903172 21:0.892884
-1 1:17.000000 2:187.000000 3:141.438597 4:0.235450 5:6.529839 6:4.637523 7:5.358304 8:6.716488 9:6.406913 10:4.801624 11:5.122203 12:4.510210 13:4.879610 14:1.422772 15:1.511499 16:0.860320 17:1.363475 18:0.917797 19:3.701105 20:72566.090573 21:0.868104
1 1:16.000000 2:250.000000 3:152.574616 4:0.171227 5:5.266494 6:4.036498 7:4.749247 8:4.585901 9:5.733156 10:3.929148 11:5.255512 12:5.490390 13:6.686901 14:1.496491 15:1.533608 16:0.700183 17:1.459303 18:0.982107 19:4.506624 20:72500.743988 21:0.900333
1 1:17.000000 2:212.000000 3:171.266613 4:0.157022 5:7.527309 6:4.366041 7:4.057418 8:3.936572 9:5.739802 10:4.575048 11:3.654006 12:4.562705 13:7.765804 14:1.443195 15:1.562912 16:0.828154 17:1.451080 18:0.862359 19:4.346227 20:120167.229313 21:0.921327
1 1:15.000000 2:221.000000 3:105.627915 4:0.115308 5:8.099893 6:4.605527 7:4.006533 8:4.120327 9:5.068157 10:3.184681 11:5.045400 12:5.890818 13:7.003790 14:1.345630 15:1.540184 16:0.721333 17:1.315018 18:1.105241 19:4.184827 20:74902.094422 21:0.889429
1 1:18.000000 2:245.000000 3:138.899598 4:0.186697 5:8.452493 6:5.641857 7:3.941951 8:3.788498 9:2.675496 10:2.794114 11:4.502199 12:4.833956 13:7.744087 14:1.373810 15:1.570210 16:0.773984 17:1.374397 18:0.993212 19:4.371139 20:125246.961322 21:0.922839
